item_id,category,region,date,stock_level,demand,supply,is_scarce,potentially_scarce,conversion_rate,experience_score,dispute_amount,win_amount,recouped_amount,tag_status,net_loss,spike_indicator,supply_demand_ratio
ITEM00054,Groceries,South,2023-06-09,469,736,945,No,No,0.81,9,769.37,356.68,29.4,Reviewed,383.29,No,1.282225237449118
ITEM00055,Electronics,West,2023-02-11,245,402,918,No,No,0.83,4,745.38,304.9,95.9,Escalated,344.58000000000004,No,2.2779156327543424
ITEM00056,Home Appliances,North,2023-02-16,316,314,982,No,Yes,0.32,2,683.4,154.44,96.12,Flagged,432.84000000000003,No,3.1174603174603175
ITEM00057,Apparel,South,2023-06-08,463,127,321,No,Yes,0.39,7,298.37,315.83,171.7,Flagged,-189.15999999999997,No,2.5078125
ITEM00058,Home Appliances,South,2023-07-03,383,880,821,Yes,No,0.78,8,782.91,1.54,137.41,Flagged,643.96,No,0.9318955732122588
ITEM00059,Apparel,East,2023-09-03,41,597,81,Yes,Yes,0.49,2,645.89,335.51,224.98,Escalated,85.4,No,0.1354515050167224
ITEM00060,Apparel,Central,2023-01-11,284,636,901,Yes,No,0.33,10,228.9,390.86,5.75,Escalated,-167.71,No,1.414442700156986
ITEM00061,Home Appliances,North,2023-06-03,467,618,654,No,No,0.87,9,979.0,3.44,27.27,Reviewed,948.29,Yes,1.0565428109854604
ITEM00062,Toys,South,2023-08-08,475,293,528,No,No,0.27,10,984.52,330.33,74.38,Resolved,579.8100000000001,No,1.7959183673469388
ITEM00063,Apparel,North,2023-06-04,410,691,177,No,Yes,0.59,8,373.91,274.88,11.69,Reviewed,87.34000000000003,No,0.25578034682080925
ITEM00064,Apparel,West,2023-12-05,299,541,798,No,No,0.44,4,753.18,141.44,49.18,Flagged,562.5600000000001,No,1.4723247232472325
ITEM00065,Home Appliances,West,2023-12-31,476,933,66,No,Yes,0.46,4,681.37,98.99,218.2,Flagged,364.18,No,0.07066381156316917
ITEM00066,Apparel,Central,2023-10-10,388,135,602,No,Yes,0.18,5,583.91,478.72,239.49,Resolved,-134.30000000000007,No,4.426470588235294
ITEM00067,Apparel,South,2023-07-06,435,357,522,No,No,0.31,1,180.85,240.8,177.77,Resolved,-237.72000000000003,No,1.458100558659218
ITEM00068,Home Appliances,East,2023-03-03,368,212,350,No,No,0.23,7,467.85,228.97,171.28,Resolved,67.60000000000002,No,1.6431924882629108
ITEM00069,Home Appliances,South,2023-05-28,361,393,833,No,No,0.7,4,729.93,423.3,188.06,Flagged,118.56999999999994,No,2.1142131979695433
ITEM00070,Electronics,North,2023-05-24,485,813,837,No,No,0.66,1,988.34,191.36,240.37,Flagged,556.61,No,1.0282555282555284
ITEM00071,Toys,West,2023-04-13,436,113,91,No,No,0.74,4,613.62,402.85,252.84,Flagged,-42.07000000000002,No,0.7982456140350878
ITEM00072,Toys,North,2023-10-27,435,766,827,No,No,0.66,4,752.19,283.77,101.71,Resolved,366.7100000000001,No,1.0782268578878749
ITEM00073,Apparel,Central,2023-04-03,293,696,101,Yes,Yes,0.2,1,913.89,105.39,124.92,Flagged,683.58,No,0.1449067431850789
ITEM00074,Toys,West,2023-10-13,427,239,237,No,No,0.88,9,613.78,175.38,242.61,Flagged,195.78999999999996,No,0.9875
ITEM00075,Apparel,East,2023-04-29,180,470,993,Yes,No,0.25,8,764.52,11.5,63.2,Resolved,689.8199999999999,No,2.1082802547770703
ITEM00076,Electronics,West,2023-01-29,370,526,200,No,Yes,0.38,9,458.06,219.96,282.81,Reviewed,-44.71000000000001,No,0.3795066413662239
ITEM00077,Home Appliances,South,2023-01-30,385,196,293,No,No,0.67,7,291.89,468.32,251.47,Resolved,-427.9,No,1.4873096446700507
ITEM00078,Home Appliances,South,2023-12-26,364,796,850,Yes,No,0.21,5,493.04,315.98,132.26,Flagged,44.80000000000001,No,1.066499372647428
ITEM00079,Home Appliances,West,2023-10-15,181,587,540,Yes,No,0.24,7,88.96,288.96,154.12,Reviewed,-354.12,No,0.9183673469387755
ITEM00080,Toys,Central,2023-05-18,339,441,176,No,Yes,0.8,2,930.0,434.83,131.24,Resolved,363.93,No,0.39819004524886875
ITEM00081,Electronics,South,2023-02-20,490,969,766,No,No,0.37,10,310.43,61.1,68.71,Resolved,180.62,No,0.7896907216494845
ITEM00082,Toys,South,2023-10-19,494,591,458,No,No,0.63,7,461.03,398.21,71.99,Escalated,-9.170000000000002,No,0.7736486486486487
ITEM00083,Toys,East,2023-08-22,460,599,867,No,No,0.79,4,653.38,348.79,90.83,Flagged,213.76,No,1.445
ITEM00084,Electronics,West,2023-02-24,217,531,918,Yes,No,0.88,5,504.49,264.73,122.48,Flagged,117.27999999999999,No,1.7255639097744362
ITEM00085,Electronics,South,2023-10-19,162,288,661,No,No,0.27,7,282.78,192.57,268.13,Escalated,-177.92000000000002,No,2.28719723183391
ITEM00086,Electronics,Central,2023-08-28,45,181,393,Yes,No,0.2,2,984.29,17.73,107.57,Escalated,858.99,Yes,2.159340659340659
ITEM00087,Electronics,North,2023-11-08,455,911,640,Yes,No,0.69,5,848.29,309.01,168.75,Escalated,370.53,No,0.7017543859649122
ITEM00088,Home Appliances,West,2023-02-05,91,279,744,Yes,Yes,0.25,2,102.79,284.65,26.55,Escalated,-208.40999999999997,No,2.657142857142857
ITEM00089,Groceries,East,2023-03-30,104,997,147,Yes,Yes,0.56,10,367.39,142.36,115.3,Escalated,109.72999999999998,No,0.14729458917835672
ITEM00090,Groceries,South,2023-07-31,206,960,117,Yes,Yes,0.53,6,194.29,137.28,128.32,Reviewed,-71.31,No,0.12174817898022892
ITEM00091,Electronics,Central,2023-11-14,438,514,895,No,No,0.55,10,478.67,178.81,150.85,Escalated,149.01000000000002,No,1.7378640776699028
ITEM00092,Groceries,West,2023-12-31,497,204,949,No,Yes,0.62,8,208.8,216.7,138.55,Resolved,-146.45,No,4.6292682926829265
ITEM00093,Groceries,Central,2023-09-02,327,480,77,No,Yes,0.78,7,312.27,369.05,198.26,Escalated,-255.04000000000002,No,0.1600831600831601
ITEM00094,Electronics,Central,2023-03-28,138,821,78,Yes,Yes,0.32,5,520.9,256.16,255.02,Flagged,9.719999999999942,No,0.0948905109489051
ITEM00095,Groceries,East,2023-08-28,28,428,899,Yes,No,0.54,3,144.08,75.12,189.57,Resolved,-120.60999999999999,No,2.0955710955710956
ITEM00096,Toys,West,2023-11-16,250,348,683,No,No,0.37,4,860.94,445.7,116.21,Resolved,299.0300000000001,No,1.9570200573065903
ITEM00097,Apparel,South,2023-07-07,452,171,261,No,No,0.35,2,362.65,239.61,231.83,Resolved,-108.79000000000005,No,1.5174418604651163
ITEM00098,Apparel,East,2023-02-26,190,772,737,Yes,No,0.12,6,914.3,448.64,205.34,Reviewed,260.31999999999994,No,0.9534282018111255
ITEM00099,Electronics,South,2023-04-23,46,232,666,Yes,Yes,0.58,8,30.09,306.5,207.14,Reviewed,-483.55,No,2.8583690987124464
ITEM00100,Home Appliances,North,2023-08-11,366,339,529,No,No,0.88,8,771.7,284.58,236.05,Escalated,251.07000000000005,No,1.5558823529411765
ITEM00101,Electronics,Central,2023-03-11,250,177,121,No,No,0.71,9,864.95,167.1,33.27,Resolved,664.58,No,0.6797752808988764
ITEM00102,Home Appliances,North,2023-08-15,262,669,540,Yes,No,0.29,5,984.57,485.63,108.53,Reviewed,390.4100000000001,No,0.8059701492537313
ITEM00103,Apparel,Central,2023-09-13,372,560,159,No,Yes,0.67,10,131.87,491.64,50.46,Resolved,-410.22999999999996,No,0.28342245989304815
ITEM00104,Electronics,East,2023-06-29,63,224,162,Yes,No,0.34,6,433.75,181.42,231.76,Flagged,20.57000000000002,No,0.72
ITEM00105,Toys,South,2023-07-03,337,110,446,No,Yes,0.7,2,760.31,394.78,170.01,Resolved,195.51999999999998,No,4.018018018018018
ITEM00106,Groceries,South,2023-07-10,319,567,281,No,No,0.78,10,513.56,134.97,296.85,Escalated,81.7399999999999,No,0.49471830985915494
ITEM00107,Home Appliances,East,2023-08-20,347,506,92,No,Yes,0.37,4,820.79,306.9,203.59,Flagged,310.29999999999995,No,0.1814595660749507
ITEM00108,Groceries,West,2023-10-03,267,126,314,No,Yes,0.1,3,983.9,335.43,22.93,Resolved,625.5400000000001,No,2.47244094488189
ITEM00109,Groceries,North,2023-08-21,11,306,857,Yes,Yes,0.34,9,756.65,492.2,86.43,Escalated,178.01999999999998,No,2.791530944625407
ITEM00110,Electronics,North,2023-02-23,291,321,95,No,Yes,0.26,6,742.19,144.11,277.62,Escalated,320.46000000000004,No,0.2950310559006211
ITEM00111,Groceries,South,2023-09-14,28,411,619,Yes,No,0.59,6,567.9,352.97,294.41,Reviewed,-79.48000000000008,No,1.5024271844660195
ITEM00112,Toys,South,2023-03-31,138,481,274,Yes,No,0.33,4,463.16,122.74,67.02,Flagged,273.40000000000003,No,0.5684647302904564
ITEM00113,Groceries,South,2023-08-14,436,861,701,No,No,0.13,6,835.02,18.06,148.21,Reviewed,668.75,No,0.8132250580046404
ITEM00114,Electronics,East,2023-09-04,453,414,150,No,Yes,0.53,1,232.88,142.51,111.0,Reviewed,-20.629999999999995,No,0.3614457831325301
ITEM00115,Toys,West,2023-05-31,84,307,330,Yes,No,0.8,9,861.45,393.21,62.9,Escalated,405.3400000000001,No,1.0714285714285714
ITEM00116,Apparel,North,2023-04-23,73,720,287,Yes,Yes,0.46,3,837.35,468.46,110.44,Resolved,258.45000000000005,No,0.39805825242718446
ITEM00117,Groceries,Central,2023-09-26,250,395,650,No,No,0.4,5,737.19,13.06,128.46,Resolved,595.6700000000001,No,1.6414141414141414
ITEM00118,Electronics,East,2023-06-06,223,501,295,Yes,No,0.24,7,695.88,56.03,200.04,Flagged,439.81000000000006,No,0.5876494023904383
ITEM00119,Apparel,North,2023-12-13,46,534,961,Yes,No,0.41,2,8.08,184.91,150.78,Flagged,-327.61,No,1.7962616822429907
ITEM00120,Apparel,West,2023-12-17,416,672,740,No,No,0.36,4,990.42,226.26,249.01,Flagged,515.15,No,1.099554234769688
ITEM00121,Home Appliances,East,2023-10-26,80,221,941,Yes,Yes,0.9,6,391.91,464.07,282.69,Reviewed,-354.84999999999997,No,4.238738738738738
ITEM00122,Toys,North,2023-06-08,450,850,792,No,No,0.12,1,379.82,10.42,114.8,Resolved,254.59999999999997,No,0.9306698002350177
ITEM00123,Groceries,East,2023-11-26,120,205,148,No,No,0.29,6,988.37,424.5,150.34,Flagged,413.53,No,0.7184466019417476
ITEM00124,Electronics,North,2023-08-13,42,890,776,Yes,No,0.15,5,241.89,257.23,218.17,Resolved,-233.51000000000002,No,0.8709315375982043
ITEM00125,Home Appliances,North,2023-01-14,145,135,249,No,No,0.79,2,953.13,107.37,247.86,Resolved,597.9,No,1.8308823529411764
ITEM00126,Toys,West,2023-12-21,73,649,305,Yes,No,0.43,6,385.19,98.06,66.16,Flagged,220.97,No,0.46923076923076923
ITEM00127,Home Appliances,Central,2023-04-19,52,171,486,Yes,Yes,0.74,5,98.19,24.99,197.39,Escalated,-124.18999999999998,No,2.8255813953488373
ITEM00128,Toys,West,2023-04-06,232,667,543,Yes,No,0.65,1,523.07,123.08,245.74,Flagged,154.25000000000006,No,0.812874251497006
ITEM00129,Toys,North,2023-07-14,294,266,485,No,No,0.84,6,706.23,487.29,222.05,Resolved,-3.1100000000000136,No,1.8164794007490637
ITEM00130,Groceries,East,2023-02-27,362,320,756,No,Yes,0.12,7,609.05,398.98,209.37,Resolved,0.6999999999999318,No,2.3551401869158877
ITEM00131,Toys,West,2023-12-18,199,175,941,No,Yes,0.27,9,952.17,481.2,283.25,Flagged,187.71999999999997,No,5.346590909090909
ITEM00132,Home Appliances,Central,2023-10-21,161,821,73,Yes,Yes,0.66,2,383.72,77.62,223.69,Escalated,82.41000000000003,No,0.08880778588807786
ITEM00133,Toys,North,2023-06-03,36,310,412,Yes,No,0.57,6,442.0,274.58,146.74,Resolved,20.680000000000007,No,1.32475884244373
ITEM00134,Groceries,West,2023-03-05,424,327,319,No,No,0.66,6,245.93,466.06,260.81,Resolved,-480.94,No,0.9725609756097561
ITEM00135,Groceries,West,2023-06-07,96,836,839,Yes,No,0.56,1,577.84,330.07,131.09,Escalated,116.68000000000004,No,1.002389486260454
ITEM00136,Home Appliances,West,2023-09-22,48,552,787,Yes,No,0.56,8,939.65,10.01,239.12,Flagged,690.52,No,1.423146473779385
ITEM00137,Apparel,West,2023-05-01,383,865,277,Yes,Yes,0.85,5,345.61,34.84,187.42,Escalated,123.35,No,0.31986143187066973
ITEM00138,Apparel,East,2023-10-15,9,586,177,Yes,Yes,0.84,2,114.96,210.93,181.67,Resolved,-277.64,No,0.30153321976149916
ITEM00139,Toys,Central,2023-01-11,39,767,592,Yes,No,0.13,5,366.12,192.17,221.62,Flagged,-47.66999999999999,No,0.7708333333333334
ITEM00140,Electronics,Central,2023-08-02,401,573,902,No,No,0.43,4,883.2,444.85,209.83,Reviewed,228.52,No,1.5714285714285714
ITEM00141,Toys,North,2023-06-11,152,974,812,Yes,No,0.51,7,900.17,390.13,160.12,Reviewed,349.91999999999996,No,0.8328205128205128
ITEM00142,Home Appliances,South,2023-04-15,105,760,107,Yes,Yes,0.39,10,121.96,66.08,265.64,Escalated,-209.76,No,0.14060446780551905
ITEM00143,Home Appliances,East,2023-05-27,40,929,374,Yes,No,0.14,8,764.53,44.75,216.51,Escalated,503.27,No,0.4021505376344086
ITEM00144,Home Appliances,North,2023-07-01,163,890,708,Yes,No,0.48,1,141.64,433.46,174.18,Escalated,-466.0,No,0.7946127946127947
ITEM00145,Home Appliances,North,2023-12-04,257,589,155,Yes,Yes,0.88,1,884.42,224.88,211.16,Escalated,448.38,No,0.2627118644067797
ITEM00146,Home Appliances,West,2023-02-06,210,475,486,Yes,No,0.16,8,475.2,84.65,103.16,Flagged,287.39,No,1.0210084033613445
ITEM00147,Groceries,South,2023-03-23,201,330,134,No,No,0.75,4,898.77,449.29,299.85,Flagged,149.62999999999994,No,0.40483383685800606
ITEM00148,Apparel,South,2023-01-12,432,801,51,No,Yes,0.26,8,74.5,360.18,140.79,Resolved,-426.47,No,0.06359102244389027
ITEM00149,Home Appliances,East,2023-01-04,194,324,486,No,No,0.56,7,76.4,81.97,142.48,Resolved,-148.04999999999998,No,1.4953846153846153
ITEM00150,Electronics,South,2023-02-12,52,574,500,Yes,No,0.41,9,935.33,303.14,117.26,Resolved,514.9300000000001,No,0.8695652173913043
ITEM00151,Electronics,North,2023-02-20,146,676,864,Yes,No,0.38,7,772.34,234.64,96.45,Resolved,441.25000000000006,No,1.276218611521418
ITEM00152,Electronics,South,2023-09-18,498,719,932,No,No,0.8,4,145.54,128.13,289.0,Flagged,-271.59000000000003,No,1.2944444444444445
ITEM00153,Electronics,South,2023-05-14,281,179,614,No,Yes,0.88,5,890.49,295.54,290.95,Escalated,304.00000000000006,No,3.411111111111111
ITEM00154,Groceries,Central,2023-03-28,309,744,490,Yes,No,0.41,7,853.79,220.1,284.38,Resolved,349.30999999999995,No,0.6577181208053692
ITEM00155,Electronics,North,2023-12-28,242,785,271,Yes,Yes,0.61,2,537.78,280.83,96.83,Reviewed,160.12,No,0.34478371501272265
ITEM00156,Home Appliances,South,2023-02-25,50,675,74,Yes,Yes,0.55,3,165.06,146.52,185.75,Flagged,-167.21,No,0.10946745562130178
ITEM00157,Toys,South,2023-08-05,494,309,84,No,Yes,0.16,3,422.44,362.61,55.34,Reviewed,4.489999999999981,No,0.2709677419354839
ITEM00158,Electronics,West,2023-03-09,408,396,718,No,No,0.13,9,550.26,213.32,216.47,Flagged,120.47,No,1.8085642317380353
ITEM00159,Groceries,South,2023-12-18,113,709,392,Yes,No,0.72,2,209.56,406.56,81.71,Flagged,-278.71,No,0.5521126760563381
ITEM00160,Groceries,South,2023-02-13,272,271,415,No,No,0.42,4,858.46,304.05,205.86,Escalated,348.55000000000007,No,1.525735294117647
ITEM00161,Electronics,Central,2023-05-23,457,188,706,No,Yes,0.35,8,833.55,121.73,214.97,Escalated,496.8499999999999,No,3.7354497354497354
ITEM00162,Toys,North,2023-12-12,119,973,385,Yes,Yes,0.89,1,23.31,170.4,298.99,Resolved,-446.08000000000004,No,0.3952772073921971
ITEM00163,Electronics,East,2023-02-11,188,325,482,No,No,0.17,9,19.65,143.32,235.81,Resolved,-359.48,No,1.478527607361963
ITEM00164,Groceries,North,2023-05-19,45,242,506,Yes,No,0.32,6,436.84,179.65,173.22,Reviewed,83.96999999999994,No,2.0823045267489713
ITEM00165,Apparel,West,2023-03-14,242,807,948,Yes,No,0.79,4,924.21,85.75,147.19,Reviewed,691.27,No,1.1732673267326732
ITEM00166,Home Appliances,North,2023-09-24,310,790,839,Yes,No,0.43,5,768.12,237.8,16.93,Resolved,513.39,No,1.0606826801517066
ITEM00167,Groceries,South,2023-07-13,49,153,528,Yes,Yes,0.57,7,958.47,24.55,283.54,Resolved,650.3800000000001,No,3.4285714285714284
ITEM00168,Electronics,West,2023-06-04,330,295,447,No,No,0.14,8,283.96,173.98,54.93,Escalated,55.04999999999999,No,1.510135135135135
ITEM00169,Home Appliances,North,2023-09-03,10,828,948,Yes,No,0.84,5,968.16,213.45,12.33,Resolved,742.38,Yes,1.143546441495778
ITEM00170,Electronics,West,2023-11-10,395,588,855,No,No,0.21,7,531.51,382.01,104.89,Escalated,44.61,No,1.4516129032258065
ITEM00171,Electronics,East,2023-08-06,423,944,392,Yes,No,0.27,3,611.01,431.22,68.92,Resolved,110.86999999999996,No,0.4148148148148148
ITEM00172,Apparel,North,2023-09-10,47,397,838,Yes,No,0.23,2,228.9,386.47,145.47,Reviewed,-303.04,No,2.1055276381909547
ITEM00173,Home Appliances,South,2023-10-04,376,529,740,No,No,0.5,2,461.38,40.97,277.26,Escalated,143.14999999999998,No,1.3962264150943395
ITEM00174,Home Appliances,West,2023-10-04,55,636,329,Yes,No,0.75,10,756.23,330.94,286.87,Flagged,138.42000000000002,No,0.5164835164835165
ITEM00175,Apparel,Central,2023-03-13,7,678,401,Yes,No,0.31,3,351.1,426.17,85.8,Resolved,-160.87,No,0.5905743740795287
ITEM00176,Groceries,West,2023-05-09,471,774,862,No,No,0.21,6,69.67,264.45,272.85,Flagged,-467.63,No,1.112258064516129
ITEM00177,Electronics,Central,2023-12-24,13,599,246,Yes,No,0.43,10,837.75,467.75,270.32,Escalated,99.68,No,0.41
ITEM00178,Toys,South,2023-07-05,214,723,274,Yes,Yes,0.89,1,33.39,441.82,131.6,Escalated,-540.03,No,0.3784530386740331
ITEM00179,Electronics,East,2023-01-13,369,940,989,Yes,No,0.11,3,96.29,439.06,162.67,Reviewed,-505.43999999999994,No,1.051009564293305
ITEM00180,Electronics,Central,2023-11-25,439,305,96,No,Yes,0.5,3,637.1,482.03,14.73,Resolved,140.34000000000006,No,0.3137254901960784
ITEM00181,Groceries,East,2023-08-08,244,979,234,Yes,Yes,0.64,2,668.5,382.68,6.24,Escalated,279.58,No,0.23877551020408164
ITEM00182,Electronics,West,2023-01-06,53,236,964,Yes,Yes,0.75,1,549.84,342.95,46.23,Escalated,160.66000000000005,No,4.067510548523207
ITEM00183,Apparel,South,2023-08-27,483,507,211,No,No,0.7,1,77.76,376.39,156.96,Resolved,-455.59000000000003,No,0.4153543307086614
ITEM00184,Apparel,Central,2023-04-22,272,378,692,No,No,0.16,1,776.85,178.98,141.47,Resolved,456.4,No,1.8258575197889182
ITEM00185,Home Appliances,West,2023-08-16,428,544,344,No,No,0.47,8,598.21,4.17,3.79,Flagged,590.2500000000001,No,0.6311926605504588
